date,active_addresses
2011-01-02,740.0
2011-01-06,842.0
2011-01-10,1187.0
2011-01-14,1096.0
2011-01-18,1126.0
2011-01-22,1703.0
2011-01-26,1251.0
2011-01-30,2852.0
2011-02-03,989.0
2011-02-07,1091.0
2011-02-11,3680.0
2011-02-15,2893.0
2011-02-19,2313.0
2011-02-23,3287.0
2011-02-28,2510.0
2011-03-04,2802.0
2011-03-08,3483.0
2011-03-12,2722.0
2011-03-16,2541.0
2011-03-20,4021.0
2011-03-24,3675.0
2011-03-28,4225.0
2011-04-01,2714.0
2011-04-05,3576.0
2011-04-09,3069.0
2011-04-13,3658.0
2011-04-17,3549.0
2011-04-21,3329.0
2011-04-25,4239.0
2011-04-29,5637.0
2011-05-03,5023.0
2011-05-07,6034.0
2011-05-11,5601.0
2011-05-15,6879.0
2011-05-19,10305.0
2011-05-23,10231.0
2011-05-27,8881.0
2011-05-31,11804.0
2011-06-04,16869.0
2011-06-08,21324.0
2011-06-12,23112.0
2011-06-16,24631.0
2011-06-20,22601.0
2011-06-24,21877.0
2011-06-28,22438.0
2011-07-02,29542.0
2011-07-06,22736.0
2011-07-10,25407.0
2011-07-14,25886.0
2011-07-19,21575.0
2011-07-23,19426.0
2011-07-27,20996.0
2011-07-31,21881.0
2011-08-04,15847.0
2011-08-08,18340.0
2011-08-12,14112.0
2011-08-16,17699.0
2011-08-20,18706.0
2011-08-24,19095.0
2011-08-28,16263.0
2011-09-01,14081.0
2011-09-05,15423.0
2011-09-09,14345.0
2011-09-13,12622.0
2011-09-17,10988.0
2011-09-21,13718.0
2011-09-26,15796.0
2011-09-30,11283.0
2011-10-04,11300.0
2011-10-08,10489.0
2011-10-12,11384.0
2011-10-16,9703.0
2011-10-20,9169.0
2011-10-24,11426.0
2011-10-28,9929.0
2011-11-01,10579.0
2011-11-05,11062.0
2011-11-09,11835.0
2011-11-13,10130.0
2011-11-17,9659.0
2011-11-21,8063.0
2011-11-25,9369.0
2011-11-29,11231.0
2011-12-03,9455.0
2011-12-07,9967.0
2011-12-11,8796.0
2011-12-15,7800.0
2011-12-19,9898.0
2011-12-23,9532.0
2011-12-27,8865.0
2011-12-31,8198.0
