date,active_addresses
2019-01-01,310120.0
2019-01-05,385489.0
2019-01-09,463346.0
2019-01-13,372207.0
2019-01-17,462879.0
2019-01-21,449404.0
2019-01-25,492261.0
2019-01-29,480702.0
2019-02-02,418174.0
2019-02-06,482655.0
2019-02-10,380922.0
2019-02-14,473265.0
2019-02-18,508261.0
2019-02-22,542172.0
2019-02-26,532149.0
2019-03-02,481021.0
2019-03-06,524992.0
2019-03-10,392557.0
2019-03-14,551001.0
2019-03-18,533680.0
2019-03-22,550986.0
2019-03-26,522961.0
2019-03-30,513840.0
2019-04-03,626468.0
2019-04-07,447559.0
2019-04-11,620631.0
2019-04-15,576183.0
2019-04-19,597098.0
2019-04-23,548492.0
2019-04-27,460846.0
2019-05-01,565408.0
2019-05-05,460613.0
2019-05-09,619054.0
2019-05-13,648734.0
2019-05-17,676115.0
2019-05-21,657474.0
2019-05-25,511153.0
2019-05-29,680323.0
2019-06-02,489569.0
2019-06-06,602273.0
2019-06-10,607094.0
2019-06-14,731367.0
2019-06-18,696937.0
2019-06-22,643642.0
2019-06-26,768792.0
2019-06-30,497075.0
2019-07-04,603018.0
2019-07-08,622449.0
2019-07-12,637928.0
2019-07-16,595749.0
2019-07-20,488968.0
2019-07-24,490408.0
2019-07-28,391947.0
2019-08-01,558918.0
2019-08-05,583599.0
2019-08-09,562840.0
2019-08-13,566410.0
2019-08-17,441149.0
2019-08-21,599152.0
2019-08-25,393555.0
2019-08-29,545362.0
2019-09-02,529944.0
2019-09-06,601748.0
2019-09-10,564563.0
2019-09-14,491282.0
2019-09-18,578686.0
2019-09-22,456990.0
2019-09-26,554702.0
2019-09-30,540376.0
2019-10-04,545609.0
2019-10-08,534935.0
2019-10-12,452069.0
2019-10-16,545056.0
2019-10-20,437713.0
2019-10-24,515253.0
2019-10-28,540579.0
2019-11-01,563151.0
2019-11-05,576664.0
2019-11-09,519291.0
2019-11-13,555616.0
2019-11-17,430853.0
2019-11-21,584765.0
2019-11-25,495578.0
2019-11-29,543960.0
2019-12-03,565368.0
2019-12-07,465570.0
2019-12-11,521113.0
2019-12-15,434034.0
2019-12-19,539310.0
2019-12-24,493086.0
2019-12-28,490465.0
