date,btc_close,eth_close,sp500_close,dxy_close,gold_close,active_addresses,interest_rate,bitcoin,fear_greed,btc_logret,btc_rsi14
2014-09-17,,,,,,143062.0,0.24,83.0,30.0,,
2014-09-18,,,,,,143062.0,0.24,83.0,30.0,,
2014-09-19,,,,,,143062.0,0.24,83.0,30.0,,
2014-09-20,,,,,,143062.0,0.24,83.0,30.0,,
2014-09-21,,,,,,143062.0,0.24,83.0,30.0,,
2014-09-22,,,,,,143062.0,0.24,83.0,30.0,,
2014-09-23,,,,,,163696.0,0.24,83.0,30.0,,
2014-09-24,,,,,,163696.0,0.24,83.0,30.0,,
2014-09-25,,,,,,163696.0,0.24,83.0,30.0,,
2014-09-26,,,,,,163696.0,0.24,83.0,30.0,,
2014-09-27,,,,,,141428.0,0.24,83.0,30.0,,
2014-09-28,,,,,,141428.0,0.24,83.0,30.0,,
2014-09-29,,,,,,141428.0,0.24,83.0,30.0,,
2014-09-30,,,,,,141428.0,0.24,83.0,30.0,,
2014-10-01,,,,,,184302.0,0.24,83.0,30.0,,
2014-10-02,,,,,,184302.0,0.24,83.0,30.0,,
2014-10-03,,,,,,184302.0,0.24,83.0,30.0,,
2014-10-04,,,,,,184302.0,0.24,83.0,30.0,,
2014-10-05,,,,,,220026.0,0.24,83.0,30.0,,
2014-10-06,,,,,,220026.0,0.24,83.0,30.0,,
2014-10-07,,,,,,220026.0,0.24,83.0,30.0,,
2014-10-08,,,,,,220026.0,0.24,83.0,30.0,,
2014-10-09,,,,,,159411.0,0.24,83.0,30.0,,
2014-10-10,,,,,,159411.0,0.24,83.0,30.0,,
2014-10-11,,,,,,159411.0,0.24,83.0,30.0,,
2014-10-12,,,,,,159411.0,0.24,82.0,30.0,,
2014-10-13,,,,,,181958.0,0.24,82.0,30.0,,
2014-10-14,,,,,,181958.0,0.24,82.0,30.0,,
2014-10-15,,,,,,181958.0,0.24,82.0,30.0,,
2014-10-16,,,,,,181958.0,0.24,82.0,30.0,,
2014-10-17,,,,,,157606.0,0.24,82.0,30.0,,
