date,bitcoin
2016-01-03,64
2016-01-10,69
2016-01-17,70
2016-01-24,60
2016-01-31,54
2016-02-07,58
2016-02-14,66
2016-02-21,61
2016-02-28,57
2016-03-06,59
2016-03-13,56
2016-03-20,52
2016-03-20,48
2016-03-27,52
2016-04-03,51
2016-04-10,50
2016-04-17,53
2016-04-24,57
2016-05-01,88
2016-05-08,61
2016-05-15,55
2016-05-22,57
2016-05-29,75
2016-06-05,70
2016-06-12,100
2016-06-19,97
2016-06-26,80
2016-07-03,74
2016-07-10,66
2016-07-17,58
2016-07-24,57
2016-07-31,79
2016-08-07,58
2016-08-14,56
2016-08-21,54
2016-08-28,54
2016-09-04,62
2016-09-11,57
2016-09-18,58
2016-09-25,56
2016-10-02,58
2016-10-09,63
2016-10-16,59
2016-10-23,65
2016-10-30,74
2016-11-06,72
2016-11-13,71
2016-11-20,71
2016-11-27,77
2016-12-04,76
2016-12-11,75
2016-12-11,15
2016-12-18,19
2016-12-25,21
