date,bitcoin
2018-01-07,45
2018-01-14,56
2018-01-21,38
2018-01-28,41
2018-02-04,46
2018-02-11,27
2018-02-18,24
2018-02-25,19
2018-03-04,19
2018-03-11,19
2018-03-18,17
2018-03-25,18
2018-04-01,17
2018-04-08,15
2018-04-15,14
2018-04-22,14
2018-04-29,12
2018-05-06,12
2018-05-13,11
2018-05-20,11
2018-05-27,11
2018-06-03,10
2018-06-03,70
2018-06-10,86
2018-06-17,70
2018-06-24,76
2018-07-01,67
2018-07-08,63
2018-07-15,77
2018-07-22,83
2018-07-29,73
2018-08-05,77
2018-08-12,73
2018-08-19,67
2018-08-26,66
2018-09-02,77
2018-09-09,68
2018-09-16,61
2018-09-23,60
2018-09-30,54
2018-10-07,58
2018-10-14,56
2018-10-21,52
2018-10-28,52
2018-11-04,56
2018-11-11,67
2018-11-18,95
2018-11-25,100
2018-12-02,83
2018-12-09,76
2018-12-16,79
2018-12-23,70
2018-12-30,62

