date,active_addresses
2009-01-12,102.0
2009-01-16,110.0
2009-01-20,115.0
2009-01-24,202.0
2009-01-28,112.0
2009-02-01,114.0
2009-02-05,126.0
2009-02-09,135.0
2009-02-14,136.0
2009-02-18,118.0
2009-02-22,125.0
2009-02-26,107.0
2009-03-02,108.0
2009-03-06,117.0
2009-03-10,107.0
2009-03-15,123.0
2009-03-19,122.0
2009-03-23,130.0
2009-03-27,106.0
2009-03-31,111.0
2009-04-04,113.0
2009-04-08,105.0
2009-04-12,120.0
2009-04-16,123.0
2009-04-20,121.0
2009-04-24,115.0
2009-04-28,117.0
2009-05-02,130.0
2009-05-06,135.0
2009-05-10,85.0
2009-05-14,143.0
2009-05-18,118.0
2009-05-22,62.0
2009-05-26,125.0
2009-05-30,109.0
2009-06-03,72.0
2009-06-08,82.0
2009-06-12,86.0
2009-06-16,71.0
2009-06-20,78.0
2009-06-24,98.0
2009-06-28,48.0
2009-07-02,85.0
2009-07-07,69.0
2009-07-11,83.0
2009-07-15,45.0
2009-07-19,69.0
2009-07-23,75.0
2009-07-27,74.0
2009-07-31,17.0
2009-08-04,81.0
2009-08-08,80.0
2009-08-12,63.0
2009-08-16,20.0
2009-08-20,23.0
2009-08-24,15.0
2009-08-28,75.0
2009-09-01,79.0
2009-09-05,76.0
2009-09-09,54.0
2009-09-13,75.0
2009-09-17,86.0
2009-09-21,70.0
2009-09-25,93.0
2009-09-29,90.0
2009-10-03,58.0
2009-10-07,59.0
2009-10-11,74.0
2009-10-15,71.0
2009-10-19,112.0
2009-10-23,89.0
2009-10-27,65.0
2009-10-31,46.0
2009-11-04,64.0
2009-11-08,73.0
2009-11-12,66.0
2009-11-16,97.0
2009-11-20,86.0
2009-11-24,93.0
2009-11-28,71.0
2009-12-02,94.0
2009-12-07,112.0
2009-12-11,112.0
2009-12-15,113.0
2009-12-19,199.0
2009-12-23,154.0
2009-12-27,168.0
2009-12-31,138.0
