date,active_addresses
2016-01-01,263121.0
2016-01-05,359763.0
2016-01-09,390146.0
2016-01-13,339655.0
2016-01-17,462215.0
2016-01-21,415801.0
2016-01-25,420289.0
2016-01-29,410455.0
2016-02-02,488072.0
2016-02-06,419675.0
2016-02-10,417816.0
2016-02-14,421715.0
2016-02-18,415599.0
2016-02-22,465054.0
2016-02-26,391078.0
2016-03-01,483492.0
2016-03-05,411654.0
2016-03-09,337006.0
2016-03-13,351625.0
2016-03-17,397923.0
2016-03-21,355209.0
2016-03-25,332910.0
2016-03-29,384087.0
2016-04-02,349858.0
2016-04-06,400648.0
2016-04-10,369611.0
2016-04-14,386126.0
2016-04-18,391408.0
2016-04-22,360541.0
2016-04-26,438403.0
2016-04-30,370399.0
2016-05-04,393861.0
2016-05-08,363477.0
2016-05-12,373340.0
2016-05-16,428469.0
2016-05-20,352825.0
2016-05-24,407284.0
2016-05-28,378992.0
2016-06-01,411100.0
2016-06-05,370336.0
2016-06-09,433264.0
2016-06-13,450475.0
2016-06-17,456749.0
2016-06-21,466563.0
2016-06-25,410558.0
2016-06-29,370956.0
2016-07-03,349825.0
2016-07-07,364951.0
2016-07-11,392909.0
2016-07-15,367025.0
2016-07-19,372107.0
2016-07-23,338444.0
2016-07-27,373465.0
2016-07-31,344641.0
2016-08-04,384713.0
2016-08-08,412180.0
2016-08-12,389404.0
2016-08-16,423764.0
2016-08-20,399739.0
2016-08-24,408587.0
2016-08-28,331778.0
2016-09-01,385974.0
2016-09-05,422188.0
2016-09-09,380834.0
2016-09-13,410171.0
2016-09-17,394081.0
2016-09-21,408745.0
2016-09-25,377263.0
2016-09-29,438502.0
2016-10-03,494066.0
2016-10-07,470157.0
2016-10-11,456719.0
2016-10-15,390688.0
2016-10-19,340010.0
2016-10-23,370500.0
2016-10-27,544308.0
2016-10-31,456149.0
2016-11-04,429052.0
2016-11-08,515899.0
2016-11-12,441806.0
2016-11-16,481300.0
2016-11-20,452258.0
2016-11-24,555782.0
2016-11-28,531725.0
2016-12-02,579169.0
2016-12-06,569492.0
2016-12-10,456468.0
2016-12-14,495462.0
2016-12-18,418499.0
2016-12-22,528879.0
2016-12-26,448558.0
2016-12-30,496025.0
