,btc_close,active_addresses,dxy_close,eth_close,fear_greed,gold_close,interest_rate,sp500_close,trend,btc_log_return,btc_rsi
2014-09-17,457.3340148925781,143062.0,84.69999694824219,320.8840026855469,30.0,1234.4000244140625,0.09,2001.5699462890625,22.0,,
2014-09-18,424.44000244140625,143062.0,84.31999969482422,320.8840026855469,30.0,1225.699951171875,0.09,2011.3599853515625,22.0,-0.07464335114905024,
2014-09-19,394.7959899902344,143062.0,84.80000305175781,320.8840026855469,30.0,1215.300048828125,0.09,2010.4000244140625,22.0,-0.07240150831598655,
2014-09-20,408.9039916992187,148220.5,84.75666809082031,320.8840026855469,30.0,1215.800048828125,0.09,2005.030029296875,22.0,0.035111238924079614,
2014-09-21,398.8210144042969,153379.0,84.71333312988281,320.8840026855469,30.0,1216.300048828125,0.09,1999.6600341796875,22.0,-0.024967658573127563,
2014-09-22,402.1520080566406,158537.5,84.66999816894531,320.8840026855469,30.0,1216.800048828125,0.09,1994.2900390625,22.142857142857142,0.008317415847792081,
2014-09-23,435.7909851074219,163696.0,84.66000366210938,320.8840026855469,30.0,1221.0,0.09,1982.77001953125,22.285714285714285,0.08033258980830758,
2014-09-24,423.2049865722656,158129.0,85.05000305175781,320.8840026855469,30.0,1218.5999755859375,0.09,1998.300048828125,22.428571428571427,-0.029306072958098176,
2014-09-25,411.5740051269531,152562.0,85.19999694824219,320.8840026855469,30.0,1221.199951171875,0.09,1965.989990234375,22.571428571428573,-0.027867817193167922,
2014-09-26,404.4249877929687,146995.0,85.63999938964844,320.8840026855469,30.0,1214.0999755859375,0.09,1982.8499755859375,22.714285714285715,-0.017522571265167215,
2014-09-27,399.5199890136719,141428.0,85.62333170572917,320.8840026855469,30.0,1215.2333170572917,0.09,1981.1666666666667,22.857142857142858,-0.01220247599944209,
2014-09-28,377.1809997558594,152146.5,85.60666402180989,320.8840026855469,30.0,1216.3666585286458,0.09,1979.4833577473958,23.0,-0.05753862134517328,
2014-09-29,375.4670104980469,162865.0,85.58999633789062,320.8840026855469,30.0,1217.5,0.09,1977.800048828125,34.0,-0.004554565208133669,
2014-09-30,386.9440002441406,173583.5,85.94000244140625,320.8840026855469,30.0,1210.5,0.09,1972.2900390625,45.0,0.03010936786854685,
2014-10-01,383.614990234375,184302.0,85.97000122070312,320.8840026855469,30.0,1214.5999755859375,0.09,1946.1600341796875,56.0,-0.008640560327416795,31.461697343776336
2014-10-02,375.0719909667969,193233.0,85.5999984741211,320.8840026855469,30.0,1214.199951171875,0.09,1946.1700439453125,67.0,-0.022521436563615105,35.852649147070125
2014-10-03,359.5119934082031,202164.0,86.69000244140625,320.8840026855469,30.0,1192.199951171875,0.09,1967.9000244140625,78.0,-0.042370445494222315,39.00083108374995
2014-10-04,328.8659973144531,211095.0,86.36333465576172,320.8840026855469,30.0,1197.0332845052083,0.09,1966.8733317057292,89.0,-0.0890971731632362,27.38169672309992
2014-10-05,320.510009765625,220026.0,86.03666687011719,320.8840026855469,30.0,1201.8666178385417,0.09,1965.8466389973958,100.0,-0.02573685720834996,27.65159729425382
2014-10-06,330.0790100097656,204872.25,85.70999908447266,320.8840026855469,30.0,1206.699951171875,0.09,1964.8199462890625,97.42857142857143,0.029418542484082596,30.13893481514323
2014-10-07,336.18701171875,189718.5,85.66999816894531,320.8840026855469,30.0,1211.699951171875,0.09,1935.0999755859375,94.85714285714286,0.018335537549769843,17.642548549219
2014-10-08,352.94000244140625,174564.75,85.30000305175781,320.8840026855469,30.0,1205.300048828125,0.09,1968.8900146484375,92.28571428571429,0.048630490107531996,27.775350675520585
2014-10-09,365.0260009765625,159411.0,85.5199966430664,320.8840026855469,30.0,1224.5999755859375,0.09,1928.2099609375,89.71428571428571,0.03367050886515816,35.319233062186115
2014-10-10,361.56201171875,165047.75,85.91000366210938,320.8840026855469,30.0,1221.0,0.09,1906.1300048828125,87.14285714285714,-0.009535019685869594,36.15974490007076
2014-10-11,362.2990112304687,170684.5,85.75000254313152,320.8840026855469,30.0,1223.7666829427083,0.09,1895.6666666666667,84.57142857142857,0.0020363018397689513,37.64907555686433
2014-10-12,378.5490112304687,176321.25,85.59000142415364,320.8840026855469,30.0,1226.5333658854167,0.09,1885.2033284505208,82.0,0.04387568380252533,50.47305935070763
2014-10-13,390.41400146484375,181958.0,85.43000030517578,320.8840026855469,30.0,1229.300048828125,0.09,1874.739990234375,81.0,0.030862165749712976,54.8296193540155
2014-10-14,400.8699951171875,175870.0,85.81999969482422,320.8840026855469,30.0,1233.5999755859375,0.09,1877.699951171875,80.0,0.02642945473533767,54.529605069204656
2014-10-15,394.77301025390625,169782.0,85.1500015258789,320.8840026855469,30.0,1244.0999755859375,0.09,1862.489990234375,79.0,-0.015326230901940996,53.56509204030842
2014-10-16,382.5559997558594,163694.0,85.0,320.8840026855469,30.0,1240.5,0.09,1862.760009765625,78.0,-0.031435894996154054,52.33635884862235
2014-10-17,383.7579956054687,157606.0,85.19000244140625,320.8840026855469,30.0,1238.300048828125,0.09,1886.760009765625,77.0,0.0031370869973755405,58.31447690334128
2014-10-18,391.4419860839844,160383.4,85.11000061035156,320.8840026855469,30.0,1240.2000325520833,0.09,1892.510009765625,76.0,0.01982518661870101,75.4697107083856
2014-10-19,389.5459899902344,163160.8,85.02999877929688,320.8840026855469,30.0,1242.1000162760417,0.09,1898.260009765625,75.0,-0.004855387987120306,79.65872234847859
2014-10-20,382.8450012207031,165938.2,84.94999694824219,320.8840026855469,30.0,1244.0,0.09,1904.010009765625,74.57142857142857,-0.017351722052715512,73.2416679884614
2014-10-21,386.4750061035156,168715.6,85.30999755859375,320.8840026855469,30.0,1251.0,0.09,1941.280029296875,74.14285714285714,0.009436987957972875,72.64451114486748
2014-10-22,383.1579895019531,171493.0,85.73999786376953,320.8840026855469,30.0,1244.800048828125,0.09,1927.1099853515625,73.71428571428571,-0.008619789324393464,65.48021540725297
2014-10-23,358.4169921875,174795.5,85.83999633789062,320.8840026855469,30.0,1228.5,0.09,1950.8199462890625,73.28571428571429,-0.06675031813644425,47.00290625259487
2014-10-24,358.3450012207031,178098.0,85.7300033569336,320.8840026855469,30.0,1231.199951171875,0.09,1964.5799560546875,72.85714285714286,-0.00020087830465635576,48.49482444639839
2014-10-25,347.27099609375,181400.5,85.65333557128906,320.8840026855469,30.0,1230.4999593098958,0.09,1963.5966389973958,72.42857142857143,-0.031390769190214725,43.5888382527782
2014-10-26,354.7040100097656,184703.0,85.57666778564453,320.8840026855469,30.0,1229.7999674479167,0.09,1962.6133219401042,72.0,0.021178223352178425,38.999858935188776
2014-10-27,352.989013671875,182627.75,85.5,320.8840026855469,30.0,1229.0999755859375,0.09,1961.6300048828125,72.14285714285714,-0.004846733365239283,30.95129364603021
2014-10-28,357.6180114746094,180552.5,85.41000366210938,320.8840026855469,30.0,1229.199951171875,0.09,1985.050048828125,72.28571428571429,0.013028475982844394,26.597270498096947
2014-10-29,335.59100341796875,178477.25,85.94999694824219,320.8840026855469,30.0,1224.300048828125,0.09,1982.300048828125,72.42857142857143,-0.06357224291092703,22.686407400521688
2014-10-30,345.30499267578125,176402.0,86.1500015258789,320.8840026855469,30.0,1198.0999755859375,0.09,1994.6500244140625,72.57142857142857,0.028534896464091998,32.401374740088016
2014-10-31,338.3210144042969,175713.25,86.87999725341797,320.8840026855469,30.0,1171.0999755859375,0.09,2018.050048828125,72.71428571428571,-0.02043287172521867,29.646025320816506
2014-11-01,325.7489929199219,175024.5,87.02333068847656,320.8840026855469,30.0,1170.5333251953125,0.09,2017.9700520833333,72.85714285714286,-0.037868067090557754,21.80679352353131
2014-11-02,325.8919982910156,174335.75,87.16666412353516,320.8840026855469,30.0,1169.9666748046875,0.091,2017.8900553385417,73.0,0.0004389084643792419,22.264542733699386
2014-11-03,327.5539855957031,173647.0,87.30999755859375,320.8840026855469,30.0,1169.4000244140625,0.092,2017.81005859375,74.71428571428571,0.005086850113011883,24.801979151483863
2014-11-04,330.49200439453125,171174.75,86.9800033569336,320.8840026855469,30.0,1167.4000244140625,0.093,2012.0999755859375,76.42857142857143,0.008929583542813927,24.324676876979936
2014-11-05,339.4859924316406,168702.5,87.44000244140625,320.8840026855469,30.0,1145.4000244140625,0.094,2023.5699462890625,78.14285714285714,0.02685022019464371,30.962179892422995
2014-11-06,349.2900085449219,166230.25,88.01000213623047,320.8840026855469,30.0,1142.300048828125,0.095,2031.2099609375,79.85714285714286,0.028469860439230645,45.42557607612675
2014-11-07,342.4150085449219,163758.0,87.63999938964844,320.8840026855469,30.0,1169.5999755859375,0.096,2031.9200439453125,81.57142857142857,-0.01987907050661142,42.525623659393624
2014-11-08,345.4880065917969,165384.25,87.69666544596355,320.8840026855469,30.0,1166.2666422526042,0.097,2034.0333658854167,83.28571428571429,0.008934452738033633,49.09550786710769
2014-11-09,363.2640075683594,167010.5,87.75333150227864,320.8840026855469,30.0,1162.9333089192708,0.09799999999999999,2036.1466878255208,85.0,0.050171934079645264,53.92999334198651
2014-11-10,366.9240112304687,168636.75,87.80999755859375,320.8840026855469,30.0,1159.5999755859375,0.09899999999999999,2038.260009765625,83.57142857142857,0.01002490925623561,56.285462423114836
2014-11-11,367.6950073242187,170263.0,87.52999877929688,320.8840026855469,30.0,1162.800048828125,0.09999999999999999,2039.6800537109375,82.14285714285714,0.002099037344141317,54.70918413769516
2014-11-12,423.5610046386719,165352.5,87.81999969482422,320.8840026855469,30.0,1158.9000244140625,0.10099999999999999,2038.25,80.71428571428571,0.1414437423595009,81.23224862360809
2014-11-13,420.7349853515625,160442.0,87.66999816894531,320.8840026855469,30.0,1161.0999755859375,0.102,2039.3299560546875,79.28571428571429,-0.006694405456441629,78.15728041287943
2014-11-14,397.8179931640625,155531.5,87.52999877929688,320.8840026855469,30.0,1185.0,0.103,2039.8199462890625,77.85714285714286,-0.05600854991385603,69.84859619019578
2014-11-15,376.1329956054687,150621.0,87.66333262125652,320.8840026855469,30.0,1184.3333333333333,0.104,2040.3199462890625,76.42857142857143,-0.05605180451604595,65.84502047589294
2014-11-16,387.8819885253906,156088.5,87.79666646321614,320.8840026855469,30.0,1183.6666666666667,0.105,2040.8199462890625,75.0,0.0307583475088815,68.16865202528044
2014-11-17,387.4079895019531,161556.0,87.93000030517578,320.8840026855469,30.0,1183.0,0.106,2041.3199462890625,74.57142857142857,-0.00122276592224785,67.66563469053865
2014-11-18,375.197998046875,167023.5,87.58000183105469,320.8840026855469,30.0,1196.699951171875,0.107,2051.800048828125,74.14285714285714,-0.032024492730085764,62.51007261161682
2014-11-19,380.5549926757813,172491.0,87.6500015258789,320.8840026855469,30.0,1193.5999755859375,0.108,2048.719970703125,73.71428571428571,0.014176812837003124,61.731117615666776
2014-11-20,357.8399963378906,185305.25,87.58999633789062,320.8840026855469,30.0,1190.699951171875,0.109,2052.75,73.28571428571429,-0.06154474536821272,52.2744896958471
2014-11-21,350.8479919433594,198119.5,88.30999755859375,320.8840026855469,30.0,1197.5,0.11,2063.5,72.85714285714286,-0.019732890613733702,52.24196822501789
2014-11-22,352.9200134277344,210933.75,88.2566655476888,320.8840026855469,30.0,1196.8333333333333,0.111,2065.469970703125,72.42857142857143,0.0058883821245041875,51.98642394423409
2014-11-23,367.572998046875,223748.0,88.20333353678386,320.8840026855469,30.0,1196.1666666666667,0.112,2067.43994140625,72.0,0.04068049266746527,51.17125875663098
2014-11-24,376.9010009765625,213151.75,88.1500015258789,320.8840026855469,30.0,1195.5,0.113,2069.409912109375,72.14285714285714,0.02506062301536968,52.63085469502218
2014-11-25,375.3479919433594,202555.5,87.91999816894531,320.8840026855469,30.0,1197.0999755859375,0.11399999999999999,2067.030029296875,72.28571428571429,-0.004128981904106339,52.009743980096594
2014-11-26,368.3699951171875,191959.25,87.61000061035156,320.8840026855469,30.0,1196.5999755859375,0.11499999999999999,2072.830078125,72.42857142857143,-0.018765719594816287,30.499117203120093
2014-11-27,369.6700134277344,181363.0,87.98500061035156,320.8840026855469,30.0,1185.8999633789062,0.11599999999999999,2070.195068359375,72.57142857142857,0.003522897512379116,31.760295428587526
2014-11-28,376.4469909667969,181443.25,88.36000061035156,320.8840026855469,30.0,1175.199951171875,0.11699999999999999,2067.56005859375,72.71428571428571,0.018166490984887675,41.37173500715979
