date,bitcoin
2019-01-06,60
2019-01-13,55
2019-01-20,51
2019-01-27,51
2019-02-03,54
2019-02-10,50
2019-02-17,58
2019-02-24,53
2019-03-03,50
2019-03-03,29
2019-03-10,27
2019-03-17,28
2019-03-24,27
2019-03-31,49
2019-04-07,40
2019-04-14,37
2019-04-21,34
2019-04-28,34
2019-05-05,45
2019-05-12,75
2019-05-19,56
2019-05-26,57
2019-06-02,49
2019-06-09,45
2019-06-16,66
2019-06-23,100
2019-06-30,68
2019-07-07,69
2019-07-14,63
2019-07-21,52
2019-07-28,48
2019-08-04,55
2019-08-11,55
2019-08-18,48
2019-08-25,44
2019-09-01,43
2019-09-08,35
2019-09-15,38
2019-09-22,47
2019-09-29,41
2019-10-06,37
2019-10-13,35
2019-10-20,45
2019-10-27,41
2019-11-03,37
2019-11-10,35
2019-11-17,40
2019-11-24,39
2019-12-01,35
2019-12-01,43
2019-12-08,40
2019-12-15,43
2019-12-22,42
2019-12-29,43
